document_id,tep_fault_number,tep_fault_name,rca_category,primary_machine_id,affected_units,top_sensor_1,top_sensor_1_desc,top_sensor_1_change_pct,top_sensor_1_direction,top_sensor_2,top_sensor_2_desc,top_sensor_2_change_pct,top_sensor_2_direction,top_sensor_3,top_sensor_3_desc,top_sensor_3_change_pct,top_sensor_3_direction,embedding_text
TEP_Fault_01,1,A/C feed ratio disturbance,Feed composition/feed flow imbalance,F-104,Feed Systems|F-104,xmeas_1,A Feed stream 1,20.8,decreased,xmeas_2,D Feed stream 2,8.5,decreased,xmeas_3,E Feed stream 3,13.5,decreased,"Document ID: TEP_Fault_01 Source: Tennessee Eastman Process faulty testing data, fault starts at sample 160. Fault name: A/C feed ratio disturbance. RCA category: Feed composition/feed flow imbalance. Primary affected process unit: Feed System (F-104). Sensor anomaly fingerprint after sample 160: A Feed stream 1 decreased by ~20.8%; D Feed stream 2 decreased by ~8.5%; E Feed stream 3 decreased by ~13.5%. Likely physical interpretation: incorrect feed ratio, feed valve drift, or feed pump instability. Recommended first checks: compare live sensor trend with baseline, verify related control valve position, inspect relevant pump/utility line, check alarm sequence, and confirm with nearest SOP before intervention. Linked synthetic incidents: INC0015, INC0017, INC0031, INC0080, INC0082."
TEP_Fault_02,2,B composition change,Feed quality disturbance,F-101,Feed Systems|F-101,xmeas_1,A Feed stream 1,23.8,oscillated,xmeas_2,D Feed stream 2,8.1,oscillated,xmeas_3,E Feed stream 3,6.8,decreased,"Document ID: TEP_Fault_02 Source: Tennessee Eastman Process faulty testing data, fault starts at sample 160. Fault name: B composition change. RCA category: Feed quality disturbance. Primary affected process unit: Feed System (F-101). Sensor anomaly fingerprint after sample 160: A Feed stream 1 oscillated by ~23.8%; D Feed stream 2 oscillated by ~8.1%; E Feed stream 3 decreased by ~6.8%. Likely physical interpretation: upstream composition change or raw material quality deviation. Recommended first checks: compare live sensor trend with baseline, verify related control valve position, inspect relevant pump/utility line, check alarm sequence, and confirm with nearest SOP before intervention. Linked synthetic incidents: INC0007, INC0052, INC0060, INC0067, INC0076."
TEP_Fault_03,3,D feed temperature disturbance,Feed temperature abnormality,F-102,Feed Systems|F-102,xmeas_1,A Feed stream 1,10.8,oscillated,xmeas_2,D Feed stream 2,22.8,oscillated,xmeas_3,E Feed stream 3,11.3,decreased,"Document ID: TEP_Fault_03 Source: Tennessee Eastman Process faulty testing data, fault starts at sample 160. Fault name: D feed temperature disturbance. RCA category: Feed temperature abnormality. Primary affected process unit: Feed System (F-102). Sensor anomaly fingerprint after sample 160: A Feed stream 1 oscillated by ~10.8%; D Feed stream 2 oscillated by ~22.8%; E Feed stream 3 decreased by ~11.3%. Likely physical interpretation: feed preheater issue or upstream exchanger disturbance. Recommended first checks: compare live sensor trend with baseline, verify related control valve position, inspect relevant pump/utility line, check alarm sequence, and confirm with nearest SOP before intervention. Linked synthetic incidents: INC0042, INC0043, INC0047, INC0085, INC0091."
TEP_Fault_04,4,Reactor cooling water inlet temp step,Cooling performance issue,CW-101,Feed Systems|R-101|CW-101,xmeas_6,Reactor Feed Rate stream 6,22.8,increased,xmeas_7,Reactor Pressure,12.7,decreased,xmeas_8,Reactor Level,29.0,increased,"Document ID: TEP_Fault_04 Source: Tennessee Eastman Process faulty testing data, fault starts at sample 160. Fault name: Reactor cooling water inlet temp step. RCA category: Cooling performance issue. Primary affected process unit: Reactor Cooling Water System (CW-101). Sensor anomaly fingerprint after sample 160: Reactor Feed Rate stream 6 increased by ~22.8%; Reactor Pressure decreased by ~12.7%; Reactor Level increased by ~29.0%. Likely physical interpretation: cooling water valve restriction, fouling, or loss of cooling duty. Recommended first checks: compare live sensor trend with baseline, verify related control valve position, inspect relevant pump/utility line, check alarm sequence, and confirm with nearest SOP before intervention. Linked synthetic incidents: INC0001, INC0005, INC0032, INC0034, INC0073."
TEP_Fault_05,5,Condenser cooling water inlet temp step,Condenser cooling issue,CW-201,V-301/E-201|R-101|CW-201,xmeas_11,Product Separator Temperature,20.5,decreased,xmeas_12,Product Separator Level,23.5,increased,xmeas_13,Product Separator Pressure,9.0,oscillated,"Document ID: TEP_Fault_05 Source: Tennessee Eastman Process faulty testing data, fault starts at sample 160. Fault name: Condenser cooling water inlet temp step. RCA category: Condenser cooling issue. Primary affected process unit: Condenser Cooling Water System (CW-201). Sensor anomaly fingerprint after sample 160: Product Separator Temperature decreased by ~20.5%; Product Separator Level increased by ~23.5%; Product Separator Pressure oscillated by ~9.0%. Likely physical interpretation: condenser cooling water limitation, fouling, or valve malfunction. Recommended first checks: compare live sensor trend with baseline, verify related control valve position, inspect relevant pump/utility line, check alarm sequence, and confirm with nearest SOP before intervention. Linked synthetic incidents: INC0004, INC0058, INC0063, INC0064, INC0084."
TEP_Fault_06,6,A feed loss,Feed interruption,F-101,Feed Systems|F-101,xmeas_1,A Feed stream 1,20.4,decreased,xmeas_2,D Feed stream 2,25.2,decreased,xmeas_3,E Feed stream 3,19.5,decreased,"Document ID: TEP_Fault_06 Source: Tennessee Eastman Process faulty testing data, fault starts at sample 160. Fault name: A feed loss. RCA category: Feed interruption. Primary affected process unit: Feed System (F-101). Sensor anomaly fingerprint after sample 160: A Feed stream 1 decreased by ~20.4%; D Feed stream 2 decreased by ~25.2%; E Feed stream 3 decreased by ~19.5%. Likely physical interpretation: feed valve closure, pump trip, blocked strainer, or suction problem. Recommended first checks: compare live sensor trend with baseline, verify related control valve position, inspect relevant pump/utility line, check alarm sequence, and confirm with nearest SOP before intervention. Linked synthetic incidents: INC0003, INC0023, INC0049, INC0078, INC0118."
TEP_Fault_07,7,C header pressure loss,Feed pressure interruption,F-104,R-101|V-301/E-201|T-401|Feed Systems,xmeas_7,Reactor Pressure,24.6,increased,xmeas_13,Product Separator Pressure,26.5,increased,xmeas_16,Stripper Pressure,15.1,increased,"Document ID: TEP_Fault_07 Source: Tennessee Eastman Process faulty testing data, fault starts at sample 160. Fault name: C header pressure loss. RCA category: Feed pressure interruption. Primary affected process unit: Feed System (F-104). Sensor anomaly fingerprint after sample 160: Reactor Pressure increased by ~24.6%; Product Separator Pressure increased by ~26.5%; Stripper Pressure increased by ~15.1%. Likely physical interpretation: process disturbance requiring operator investigation. Recommended first checks: compare live sensor trend with baseline, verify related control valve position, inspect relevant pump/utility line, check alarm sequence, and confirm with nearest SOP before intervention. Linked synthetic incidents: INC0006, INC0025, INC0062."
TEP_Fault_08,8,A/B/C feed composition random variation,Feed composition drift,F-104,Feed Systems|F-104,xmeas_1,A Feed stream 1,14.9,increased,xmeas_2,D Feed stream 2,22.1,increased,xmeas_3,E Feed stream 3,28.5,oscillated,"Document ID: TEP_Fault_08 Source: Tennessee Eastman Process faulty testing data, fault starts at sample 160. Fault name: A/B/C feed composition random variation. RCA category: Feed composition drift. Primary affected process unit: Feed System (F-104). Sensor anomaly fingerprint after sample 160: A Feed stream 1 increased by ~14.9%; D Feed stream 2 increased by ~22.1%; E Feed stream 3 oscillated by ~28.5%. Likely physical interpretation: process disturbance requiring operator investigation. Recommended first checks: compare live sensor trend with baseline, verify related control valve position, inspect relevant pump/utility line, check alarm sequence, and confirm with nearest SOP before intervention. Linked synthetic incidents: none yet."
TEP_Fault_09,9,D feed temperature random variation,Feed temperature drift,F-102,Feed Systems|F-102,xmeas_1,A Feed stream 1,11.9,oscillated,xmeas_2,D Feed stream 2,15.1,decreased,xmeas_3,E Feed stream 3,22.5,oscillated,"Document ID: TEP_Fault_09 Source: Tennessee Eastman Process faulty testing data, fault starts at sample 160. Fault name: D feed temperature random variation. RCA category: Feed temperature drift. Primary affected process unit: Feed System (F-102). Sensor anomaly fingerprint after sample 160: A Feed stream 1 oscillated by ~11.9%; D Feed stream 2 decreased by ~15.1%; E Feed stream 3 oscillated by ~22.5%. Likely physical interpretation: process disturbance requiring operator investigation. Recommended first checks: compare live sensor trend with baseline, verify related control valve position, inspect relevant pump/utility line, check alarm sequence, and confirm with nearest SOP before intervention. Linked synthetic incidents: INC0021, INC0065, INC0066, INC0069, INC0098."
TEP_Fault_10,10,C feed temperature random variation,Feed temperature drift,F-104,Feed Systems|F-104,xmeas_1,A Feed stream 1,25.3,increased,xmeas_2,D Feed stream 2,12.4,decreased,xmeas_3,E Feed stream 3,27.9,increased,"Document ID: TEP_Fault_10 Source: Tennessee Eastman Process faulty testing data, fault starts at sample 160. Fault name: C feed temperature random variation. RCA category: Feed temperature drift. Primary affected process unit: Feed System (F-104). Sensor anomaly fingerprint after sample 160: A Feed stream 1 increased by ~25.3%; D Feed stream 2 decreased by ~12.4%; E Feed stream 3 increased by ~27.9%. Likely physical interpretation: process disturbance requiring operator investigation. Recommended first checks: compare live sensor trend with baseline, verify related control valve position, inspect relevant pump/utility line, check alarm sequence, and confirm with nearest SOP before intervention. Linked synthetic incidents: INC0019, INC0022, INC0037, INC0057, INC0092."
TEP_Fault_11,11,Reactor cooling water inlet temp random variation,Cooling water instability,CW-101,Feed Systems|R-101|CW-101,xmeas_6,Reactor Feed Rate stream 6,15.5,decreased,xmeas_7,Reactor Pressure,17.0,oscillated,xmeas_8,Reactor Level,9.4,decreased,"Document ID: TEP_Fault_11 Source: Tennessee Eastman Process faulty testing data, fault starts at sample 160. Fault name: Reactor cooling water inlet temp random variation. RCA category: Cooling water instability. Primary affected process unit: Reactor Cooling Water System (CW-101). Sensor anomaly fingerprint after sample 160: Reactor Feed Rate stream 6 decreased by ~15.5%; Reactor Pressure oscillated by ~17.0%; Reactor Level decreased by ~9.4%. Likely physical interpretation: process disturbance requiring operator investigation. Recommended first checks: compare live sensor trend with baseline, verify related control valve position, inspect relevant pump/utility line, check alarm sequence, and confirm with nearest SOP before intervention. Linked synthetic incidents: INC0033, INC0039, INC0055, INC0072, INC0079."
TEP_Fault_12,12,Condenser cooling water inlet temp random variation,Cooling water instability,CW-201,V-301/E-201|R-101|CW-201,xmeas_11,Product Separator Temperature,27.5,decreased,xmeas_12,Product Separator Level,14.7,decreased,xmeas_13,Product Separator Pressure,18.2,increased,"Document ID: TEP_Fault_12 Source: Tennessee Eastman Process faulty testing data, fault starts at sample 160. Fault name: Condenser cooling water inlet temp random variation. RCA category: Cooling water instability. Primary affected process unit: Condenser Cooling Water System (CW-201). Sensor anomaly fingerprint after sample 160: Product Separator Temperature decreased by ~27.5%; Product Separator Level decreased by ~14.7%; Product Separator Pressure increased by ~18.2%. Likely physical interpretation: process disturbance requiring operator investigation. Recommended first checks: compare live sensor trend with baseline, verify related control valve position, inspect relevant pump/utility line, check alarm sequence, and confirm with nearest SOP before intervention. Linked synthetic incidents: INC0002, INC0036, INC0046, INC0050."
TEP_Fault_13,13,Reaction kinetics slow drift,Reactor performance drift,R-101,Feed Systems|R-101,xmeas_6,Reactor Feed Rate stream 6,25.0,increased,xmeas_7,Reactor Pressure,20.3,decreased,xmeas_8,Reactor Level,15.2,decreased,"Document ID: TEP_Fault_13 Source: Tennessee Eastman Process faulty testing data, fault starts at sample 160. Fault name: Reaction kinetics slow drift. RCA category: Reactor performance drift. Primary affected process unit: Reactor (R-101). Sensor anomaly fingerprint after sample 160: Reactor Feed Rate stream 6 increased by ~25.0%; Reactor Pressure decreased by ~20.3%; Reactor Level decreased by ~15.2%. Likely physical interpretation: process disturbance requiring operator investigation. Recommended first checks: compare live sensor trend with baseline, verify related control valve position, inspect relevant pump/utility line, check alarm sequence, and confirm with nearest SOP before intervention. Linked synthetic incidents: INC0013, INC0029, INC0070, INC0071, INC0081."
TEP_Fault_14,14,Reactor cooling water valve sticking,Control valve stiction,CW-101,Feed Systems|R-101|CW-101,xmeas_6,Reactor Feed Rate stream 6,8.2,decreased,xmeas_7,Reactor Pressure,8.7,oscillated,xmeas_8,Reactor Level,25.7,decreased,"Document ID: TEP_Fault_14 Source: Tennessee Eastman Process faulty testing data, fault starts at sample 160. Fault name: Reactor cooling water valve sticking. RCA category: Control valve stiction. Primary affected process unit: Reactor Cooling Water System (CW-101). Sensor anomaly fingerprint after sample 160: Reactor Feed Rate stream 6 decreased by ~8.2%; Reactor Pressure oscillated by ~8.7%; Reactor Level decreased by ~25.7%. Likely physical interpretation: process disturbance requiring operator investigation. Recommended first checks: compare live sensor trend with baseline, verify related control valve position, inspect relevant pump/utility line, check alarm sequence, and confirm with nearest SOP before intervention. Linked synthetic incidents: INC0008, INC0011, INC0016, INC0027, INC0045."
TEP_Fault_15,15,Condenser cooling water valve sticking,Control valve stiction,CW-201,R-101|V-301/E-201|F-102|F-103,xmeas_21,Reactor Cooling Water Outlet Temperature,9.8,decreased,xmeas_22,Separator Cooling Water Outlet Temperature,28.9,increased,xmv_1,D Feed Flow Valve,25.5,decreased,"Document ID: TEP_Fault_15 Source: Tennessee Eastman Process faulty testing data, fault starts at sample 160. Fault name: Condenser cooling water valve sticking. RCA category: Control valve stiction. Primary affected process unit: Condenser Cooling Water System (CW-201). Sensor anomaly fingerprint after sample 160: Reactor Cooling Water Outlet Temperature decreased by ~9.8%; Separator Cooling Water Outlet Temperature increased by ~28.9%; D Feed Flow Valve decreased by ~25.5%. Likely physical interpretation: process disturbance requiring operator investigation. Recommended first checks: compare live sensor trend with baseline, verify related control valve position, inspect relevant pump/utility line, check alarm sequence, and confirm with nearest SOP before intervention. Linked synthetic incidents: INC0028, INC0030, INC0044, INC0068, INC0074."
TEP_Fault_16,16,Unknown disturbance,Unknown process disturbance,R-101,Feed Systems|R-101,xmeas_6,Reactor Feed Rate stream 6,18.2,increased,xmeas_7,Reactor Pressure,26.9,increased,xmeas_8,Reactor Level,26.2,decreased,"Document ID: TEP_Fault_16 Source: Tennessee Eastman Process faulty testing data, fault starts at sample 160. Fault name: Unknown disturbance. RCA category: Unknown process disturbance. Primary affected process unit: Reactor (R-101). Sensor anomaly fingerprint after sample 160: Reactor Feed Rate stream 6 increased by ~18.2%; Reactor Pressure increased by ~26.9%; Reactor Level decreased by ~26.2%. Likely physical interpretation: process disturbance requiring operator investigation. Recommended first checks: compare live sensor trend with baseline, verify related control valve position, inspect relevant pump/utility line, check alarm sequence, and confirm with nearest SOP before intervention. Linked synthetic incidents: INC0040, INC0108."
TEP_Fault_17,17,Unknown disturbance,Unknown process disturbance,V-301,V-301/E-201|V-301,xmeas_11,Product Separator Temperature,18.9,increased,xmeas_12,Product Separator Level,28.0,oscillated,xmeas_13,Product Separator Pressure,13.8,oscillated,"Document ID: TEP_Fault_17 Source: Tennessee Eastman Process faulty testing data, fault starts at sample 160. Fault name: Unknown disturbance. RCA category: Unknown process disturbance. Primary affected process unit: Vapor-Liquid Separator (V-301). Sensor anomaly fingerprint after sample 160: Product Separator Temperature increased by ~18.9%; Product Separator Level oscillated by ~28.0%; Product Separator Pressure oscillated by ~13.8%. Likely physical interpretation: process disturbance requiring operator investigation. Recommended first checks: compare live sensor trend with baseline, verify related control valve position, inspect relevant pump/utility line, check alarm sequence, and confirm with nearest SOP before intervention. Linked synthetic incidents: INC0014, INC0038, INC0041."
TEP_Fault_18,18,Unknown disturbance,Unknown process disturbance,T-401,T-401,xmeas_15,Stripper Level,11.7,decreased,xmeas_16,Stripper Pressure,27.1,increased,xmeas_17,Stripper Underflow stream 11,8.1,increased,"Document ID: TEP_Fault_18 Source: Tennessee Eastman Process faulty testing data, fault starts at sample 160. Fault name: Unknown disturbance. RCA category: Unknown process disturbance. Primary affected process unit: Stripper (T-401). Sensor anomaly fingerprint after sample 160: Stripper Level decreased by ~11.7%; Stripper Pressure increased by ~27.1%; Stripper Underflow stream 11 increased by ~8.1%. Likely physical interpretation: process disturbance requiring operator investigation. Recommended first checks: compare live sensor trend with baseline, verify related control valve position, inspect relevant pump/utility line, check alarm sequence, and confirm with nearest SOP before intervention. Linked synthetic incidents: INC0010, INC0012, INC0024, INC0026, INC0075."
TEP_Fault_19,19,Unknown disturbance,Unknown process disturbance,K-501,K-501|Feed Systems,xmeas_20,Compressor Work,21.8,increased,xmeas_1,A Feed stream 1,10.0,oscillated,xmeas_2,D Feed stream 2,26.9,oscillated,"Document ID: TEP_Fault_19 Source: Tennessee Eastman Process faulty testing data, fault starts at sample 160. Fault name: Unknown disturbance. RCA category: Unknown process disturbance. Primary affected process unit: Recycle Compressor (K-501). Sensor anomaly fingerprint after sample 160: Compressor Work increased by ~21.8%; A Feed stream 1 oscillated by ~10.0%; D Feed stream 2 oscillated by ~26.9%. Likely physical interpretation: process disturbance requiring operator investigation. Recommended first checks: compare live sensor trend with baseline, verify related control valve position, inspect relevant pump/utility line, check alarm sequence, and confirm with nearest SOP before intervention. Linked synthetic incidents: INC0009, INC0018, INC0020, INC0035, INC0048."
TEP_Fault_20,20,Unknown disturbance,Unknown process disturbance,R-101,Feed Systems|R-101,xmeas_1,A Feed stream 1,10.8,oscillated,xmeas_2,D Feed stream 2,15.6,decreased,xmeas_3,E Feed stream 3,21.6,oscillated,"Document ID: TEP_Fault_20 Source: Tennessee Eastman Process faulty testing data, fault starts at sample 160. Fault name: Unknown disturbance. RCA category: Unknown process disturbance. Primary affected process unit: Reactor (R-101). Sensor anomaly fingerprint after sample 160: A Feed stream 1 oscillated by ~10.8%; D Feed stream 2 decreased by ~15.6%; E Feed stream 3 oscillated by ~21.6%. Likely physical interpretation: process disturbance requiring operator investigation. Recommended first checks: compare live sensor trend with baseline, verify related control valve position, inspect relevant pump/utility line, check alarm sequence, and confirm with nearest SOP before intervention. Linked synthetic incidents: INC0054, INC0056, INC0086, INC0093, INC0112."
